
     1 = number of bitstrings processed
 173.0 = average number of pharmacophores hit per molecule
   1.6 = percentage of pharmacophores hit at least once (out of 10549)

Pharmacophore hit list:

              p1
             /  \
            /    \
       d2  /      \  d3
          /        \
         /          \
        /            \
      p3 ------------ p2
              d1

  582 | 2-4.5 | 4.5-7 | 4.5-7 | H | H | R |
  617 | 2-4.5 | 4.5-7 | 4.5-7 | P | X | X |
  619 | 2-4.5 | 4.5-7 | 4.5-7 | P | X | D |
  620 | 2-4.5 | 4.5-7 | 4.5-7 | P | X | H |
  623 | 2-4.5 | 4.5-7 | 4.5-7 | P | X | R |
  631 | 2-4.5 | 4.5-7 | 4.5-7 | P | D | H |
  638 | 2-4.5 | 4.5-7 | 4.5-7 | P | H | R |
  645 | 2-4.5 | 4.5-7 | 4.5-7 | R | X | X |
  647 | 2-4.5 | 4.5-7 | 4.5-7 | R | X | D |
  648 | 2-4.5 | 4.5-7 | 4.5-7 | R | X | H |
  650 | 2-4.5 | 4.5-7 | 4.5-7 | R | X | P |
  673 | 2-4.5 | 4.5-7 |  7-10 | X | X | X |
  675 | 2-4.5 | 4.5-7 |  7-10 | X | X | D |
  676 | 2-4.5 | 4.5-7 |  7-10 | X | X | H |
  678 | 2-4.5 | 4.5-7 |  7-10 | X | X | P |
  679 | 2-4.5 | 4.5-7 |  7-10 | X | X | R |
  687 | 2-4.5 | 4.5-7 |  7-10 | X | D | X |
  690 | 2-4.5 | 4.5-7 |  7-10 | X | D | H |
  693 | 2-4.5 | 4.5-7 |  7-10 | X | D | R |
  694 | 2-4.5 | 4.5-7 |  7-10 | X | H | X |
  696 | 2-4.5 | 4.5-7 |  7-10 | X | H | D |
  699 | 2-4.5 | 4.5-7 |  7-10 | X | H | P |
  771 | 2-4.5 | 4.5-7 |  7-10 | D | X | X |
  773 | 2-4.5 | 4.5-7 |  7-10 | D | X | D |
  776 | 2-4.5 | 4.5-7 |  7-10 | D | X | P |
  785 | 2-4.5 | 4.5-7 |  7-10 | D | D | X |
  788 | 2-4.5 | 4.5-7 |  7-10 | D | D | H |
  791 | 2-4.5 | 4.5-7 |  7-10 | D | D | R |
  792 | 2-4.5 | 4.5-7 |  7-10 | D | H | X |
  794 | 2-4.5 | 4.5-7 |  7-10 | D | H | D |
  797 | 2-4.5 | 4.5-7 |  7-10 | D | H | P |
  806 | 2-4.5 | 4.5-7 |  7-10 | D | P | X |
  820 | 2-4.5 | 4.5-7 |  7-10 | H | X | X |
  823 | 2-4.5 | 4.5-7 |  7-10 | H | X | H |
  826 | 2-4.5 | 4.5-7 |  7-10 | H | X | R |
  834 | 2-4.5 | 4.5-7 |  7-10 | H | D | X |
  837 | 2-4.5 | 4.5-7 |  7-10 | H | D | H |
  840 | 2-4.5 | 4.5-7 |  7-10 | H | D | R |
  841 | 2-4.5 | 4.5-7 |  7-10 | H | H | X |
  843 | 2-4.5 | 4.5-7 |  7-10 | H | H | D |
  846 | 2-4.5 | 4.5-7 |  7-10 | H | H | P |
  862 | 2-4.5 | 4.5-7 |  7-10 | H | R | X |
  865 | 2-4.5 | 4.5-7 |  7-10 | H | R | H |
  932 | 2-4.5 | 4.5-7 |  7-10 | P | D | X |
  935 | 2-4.5 | 4.5-7 |  7-10 | P | D | H |
  938 | 2-4.5 | 4.5-7 |  7-10 | P | D | R |
  988 | 2-4.5 | 4.5-7 |  7-10 | R | H | X |
  990 | 2-4.5 | 4.5-7 |  7-10 | R | H | D |
  993 | 2-4.5 | 4.5-7 |  7-10 | R | H | P |
 1135 | 2-4.5 | 4.5-7 | 10-14 | D | H | X |
 1137 | 2-4.5 | 4.5-7 | 10-14 | D | H | D |
 1140 | 2-4.5 | 4.5-7 | 10-14 | D | H | P |
 1177 | 2-4.5 | 4.5-7 | 10-14 | H | D | X |
 1359 | 2-4.5 |  7-10 |  7-10 | X | X | X |
 1361 | 2-4.5 |  7-10 |  7-10 | X | X | D |
 1362 | 2-4.5 |  7-10 |  7-10 | X | X | H |
 1417 | 2-4.5 |  7-10 |  7-10 | D | X | D |
 1418 | 2-4.5 |  7-10 |  7-10 | D | X | H |
 1420 | 2-4.5 |  7-10 |  7-10 | D | X | P |
 1429 | 2-4.5 |  7-10 |  7-10 | D | D | H |
 1435 | 2-4.5 |  7-10 |  7-10 | D | H | P |
